TImeStep,Flat,Ramp
282,-456.7927846,-2382.659215
283,-443.5668852,-2375.159219
284,-465.5641987,-1266.45455
285,-440.2554981,-1288.099907
286,-467.650758,-1245.100124
287,-451.6660726,-1578.164342
288,-467.6898265,-1316.960931
289,-479.8841092,-1322.46042
290,-462.0369283,-141.2217294
291,-646.8247538,-103.7253734
292,-1044.638879,-69.73129522
293,-1052.557016,-333.4953723
294,-1067.603358,-1145.174067
295,-877.3955092,-1153.307443
296,-877.3002152,-943.7344169
297,-880.5065605,-934.7345497
298,-760.5353399,-1161.623409
299,-750.0924397,-765.6016628
300,-736.1357296,-774.5956073
301,-740.273879,-771.5900601
302,-775.6462031,-725.5924758
303,-749.6456053,-728.526981
304,-749.5931791,-371.431163
305,-755.7412021,-730.5269752
306,-779.2370323,-728.0242797
307,-787.8864013,-416.570914
308,-761.8866453,-415.5717241
309,-898.7554372,-412.0717142
310,-875.7105969,-798.0247636
311,-907.2826088,-797.8083068
312,-911.6066061,-795.3084108
313,-882.6928912,-796.629241
314,-881.4775324,-408.8531343
315,-1041.808951,-457.352895
316,-1029.738272,-452.3529058
317,-1018.518084,-509.2373432
318,-822.1480368,-513.7434876
319,-534.6016408,-503.7434802
320,-547.039397,-829.5707276
321,-521.3165987,-816.2016508
322,-1187.872418,-816.3196711
323,-1170.676014,-816.1892544
324,-395.9993715,-517.74349
325,-377.8625584,-460.5934681
326,-354.8843557,-415.592935
327,-516.0909808,-416.2739514
328,-657.468499,-816.2384957
329,-803.9368402,-859.7864902
330,-826.0185746,-486.7639401
331,-807.5457873,-473.3260082
332,-668.6026712,-533.4847373
333,-821.0570738,-537.465788
334,-797.9702126,-489.4664455
335,-789.0414469,-1128.010745
336,-647.6191088,-1074.010628
337,-661.9919181,-1084.744223
338,-522.2754277,-1086.269041
339,-516.2189931,-689.1507757
340,-661.3991662,-735.6506498
341,-649.397521,-737.3551751
342,-676.3842616,-427.7505387
343,-669.3838701,-424.9207461
344,-669.3838655,-374.4213571
345,-655.397578,-426.4202682
346,-681.4274196,-70.37738158
347,-675.2498758,-428.07746
348,-696.0711855,-427.0785396
349,-707.4917316,-72.99088641
350,-694.7615632,-105.4914661
351,-564.2733412,-103.5738115
352,-527.0997836,-118.0697638
353,-525.1739749,-105.0698551
354,-509.1423455,-418.2886612
355,-535.3086812,-427.291578
356,-504.3086004,-782.5854338
357,-504.3085997,-420.7368926
358,-512.3120292,-415.7915815
359,-389.9096778,-424.2912401
360,-397.4473583,-106.183894
361,-375.0467975,-104.6842207
362,-386.3720655,-56.18440644
363,-405.4373144,-16.18374538
