Timestep,P0,P1,P2,P3
171,-2120.456282,-432.462867,-943.4452172,-1138.147102
172,-2114.448512,-384.4601239,-943.3490327,-1144.659743
173,-2072.872657,-384.960684,-896.7860057,-1134.162644
174,-2110.411738,-383.9733668,-886.4527414,-1182.102741
175,-1798.958385,-2418.672693,-1226.845496,-1140.654587
176,-1791.958968,-2030.001908,-1540.741025,-1136.631948
177,-1996.736425,-2415.41375,-1596.398924,-1724.934831
178,-2434.515255,-2411.644404,-478.8853189,-1781.929183
179,-2465.113718,-2411.654348,-432.9144677,-1725.436308
180,-2043.756565,-2414.563932,-739.2481698,-2021.804338
181,-2032.651061,-2413.263781,-732.9828743,-2406.548359
182,-2466.158259,-2375.811929,-432.5141343,-2365.937022
183,-2432.118735,-2370.809411,-73.0260902,-467.6732589
184,-2429.142293,-2411.799882,-69.08700771,-523.7648061
185,-2427.155457,-2410.79988,-27.61592325,-166.0250315
186,-2391.584819,-2415.749139,-25.61577942,-529.4067502
187,-2347.044376,-2412.25985,-70.54852119,-517.9484519
188,-2728.453554,-2415.228563,-2106.887983,-515.9303406
189,-2787.000934,-2411.500248,-2467.021079,-525.7831822
190,-2785.829744,-2411.98713,-2433.547991,-532.7801678
191,-2781.81407,-2411.496914,-2406.181124,-909.0853044
192,-2778.682922,-2772.655108,-2428.761293,-904.5733628
193,-2784.251387,-2773.049001,-2074.404742,-906.1037279
194,-2784.182921,-2770.549001,-2056.503127,-909.678067
195,-2778.510858,-2772.637659,-2068.462088,-915.9455935
196,-2782.560009,-2773.67411,-2354.15421,-897.840838
197,-2779.367969,-2776.149295,-2352.154206,-856.5556628
198,-2780.393671,-2770.639453,-2395.121319,-818.5085234
199,-2476.125036,-2771.618032,-2345.472391,-826.5435536
200,-2469.593494,-2474.106653,-2343.482544,-813.2942061
201,-2422.577484,-2462.597737,-2300.033099,-859.7337552
202,-2415.077485,-2429.675152,-2673.025138,-2034.527871
203,-2471.58677,-2425.971382,-2660.02514,-2024.564723
204,-2258.728489,-2384.501834,-961.2892851,-1967.114838
205,-2254.233831,-2382.363554,-2017.751955,-860.3777784
206,-2262.830795,-2382.376251,-2230.690339,-871.7583594
207,-2583.921076,-2697.525628,-2378.357893,-858.2827099
208,-2591.618472,-2691.426514,-2372.990603,-2783.198743
209,-2578.560355,-2741.80621,-2377.411144,-2786.102799
210,-1658.212065,-518.9410288,-2369.911174,-2739.041544
211,-1677.449385,-512.5505135,-2371.755695,-2789.606252
212,-1640.899851,-832.8954176,-2370.255401,-2778.606248
213,-1683.442564,-839.2492354,-2343.36683,-2782.318052
214,-1439.246099,-825.2556413,-2330.366831,-2788.191172
215,-504.4548939,-828.7785286,-2382.864629,-2779.364051
216,-503.4550041,-825.1571819,-2330.367259,-2779.364037
217,-508.9188292,-475.5101836,-2379.792115,-2781.349092
218,-504.413364,-466.8591766,-1999.159969,-2782.403827
219,-547.3821748,-475.124079,-1694.610184,-2736.848744
220,-515.2686067,-461.6240437,-1652.18071,-2731.387918
221,-874.0320218,-702.7636408,-1224.277307,-2729.188164
222,-865.0320169,-703.2632697,-1191.710981,-2423.487496
223,-878.2205516,-754.2609893,-1190.653112,-2733.471953
224,-862.7205413,-1163.25994,-2781.865731,-2700.8491
225,-818.7199085,-1110.759645,-2742.318228,-2691.349903
226,-812.7198149,-1070.300011,-2358.390144,-2687.855598
227,-1189.366454,-1127.080742,-2348.374122,-2748.900055
228,-1215.107638,-802.9358271,-1176.060564,-2737.900055
229,-1214.107619,-1124.813734,-1137.030229,-2739.408075
230,-1268.097909,-1121.313854,-495.94239,-2791.547806
231,-2471.326898,-1122.521378,-491.443054,-2781.650991
232,-2774.980747,-1116.170765,-491.442992,-2787.024281
233,-2771.088779,-1127.042246,-491.4429919,-2788.903452
234,-2773.033781,-2415.479646,-491.5154179,-1530.258513
235,-2770.366274,-2413.451775,-492.6669124,-1583.451299
236,-2771.962917,-2050.399988,-495.2951958,-1579.974391
237,-2769.46578,-2044.936723,-2393.931461,-1536.453774
238,-2770.953007,-2420.125732,-2380.696115,-1105.656333
239,-2769.453007,-1485.041194,-2396.820201,-1096.217611
240,-2426.461169,-1438.554545,-2358.678031,-2690.889577
241,-2412.722996,-1402.145721,-813.2657066,-2746.936425
242,-2782.42043,-1395.177085,-770.3174446,-1149.242982
243,-2775.478363,-1451.145951,-766.8166403,-1942.664267
244,-2780.046053,-1396.178129,-769.3179507,-2459.314895
245,-2774.497611,-1078.60489,-764.7530057,-2451.286604
246,-2773.967004,-1084.104675,-763.2030136,-2469.570967
247,-2771.684955,-1083.84099,-2000.772147,-2469.088028
248,-2770.743049,-1503.944285,-1480.910862,-2426.483932
249,-2777.816187,-2330.488108,-1483.399415,-2375.481793
250,-429.8498548,-1985.429508,-1474.939531,-2361.48185
251,-422.8499821,-1594.353196,-725.4500295,-2364.003211
252,-470.7692414,-1583.352695,-1088.899898,-2372.368137
253,-473.8801035,-1222.902593,-2733.670037,-2323.885549
254,-430.3024319,-1220.348127,-2734.62927,-2793.577856
255,-737.1562052,-1217.325668,-2770.374124,-2786.179277
256,-787.6405693,-1173.321128,-2773.308506,-2739.118686
257,-475.864806,-1228.86203,-1634.637857,-2691.083742
258,-524.488502,-447.9817159,-1623.847409,-2746.625679
259,-1266.646149,-445.7897069,-1669.436458,-2707.014066
260,-1233.759607,-403.776446,-2739.447269,-2698.492322
261,-1921.098052,-398.2546416,-2695.0023,-792.2368776
262,-1923.583793,-439.2045413,-2695.514337,-783.2370816
263,-1921.083985,-437.7340362,-2694.077535,-823.0278093
264,-1926.619642,-434.2339063,-2689.715886,-844.9265647
265,-2323.049177,-435.7183943,-2690.449575,-586.1180266
266,-2408.471087,-780.8000529,-2688.953588,-191.778831
267,-2360.488949,-813.3048799,-2688.950452,-535.5200808
268,-2017.456497,-1165.778483,-2695.996969,-898.5147147
269,-2014.796386,-1163.778464,-2736.440628,-749.1590327
270,-2017.864032,-1175.082685,-2733.237131,-1141.036615
271,-2013.551715,-1166.128109,-2735.181182,-1135.406221
272,-2029.46864,-809.6773557,-1872.784192,-1178.876299
273,-2021.968673,-1070.933069,-1872.509655,-821.5869768
274,-806.5604212,-1039.999379,-1870.381348,-327.6729975
275,-805.0829135,-728.4159106,-1871.391827,-669.1384263
276,-766.54358,-771.8411015,-1560.271166,-664.1387007
277,-812.4537917,-786.4419204,-1551.7666,-796.7695775
278,-769.0018,-483.9439991,-1534.872662,-837.768356
279,-784.7477985,-441.0043877,-2425.146593,-800.830922
280,-782.7488106,-444.6349674,-2388.003609,-797.3568536
281,-793.1817514,-387.1354835,-777.6149217,-506.8711154
282,-783.5915384,-432.5664408,-1746.118716,-694.8024027
283,-750.6770289,-424.6721529,-2170.574763,-863.6437845
284,-699.6605439,-472.117348,-2598.148318,-826.1657708
285,-745.6452437,-466.101096,-2174.254745,-827.7007751
286,-701.229957,-465.3982512,-2187.1312,-823.5546904
287,-946.7596673,-467.8644471,-2176.125649,-418.1283148
288,-1338.452656,-1169.132114,-2118.28199,-415.1067852
289,-1892.60302,-1178.226207,-2107.55018,-461.5233424
290,-2416.244414,-1125.939842,-1933.71088,-142.5856172
291,-2425.34227,-821.3305015,-2296.044685,-125.7138792
292,-2484.902285,-697.0645568,-2082.620304,-436.3364975
293,-2138.234408,-694.1861418,-2112.515263,-389.3360495
294,-1841.290899,-426.3607254,-2107.873769,-382.8360822
295,-1830.290965,-427.8619944,-2074.983775,-434.8369296
296,-1893.741683,-426.3814503,-2394.624843,-432.8368982
297,-1880.241683,-468.839443,-2423.400106,-446.9759436
298,-2041.566113,-428.8814354,-2738.596265,-477.9450959
299,-2056.558295,-738.7713166,-2731.834799,-553.6605726
300,-2053.058298,-735.286817,-2728.398788,-541.6606916
301,-1745.960462,-2378.827654,-1682.883083,-818.7345388
302,-2059.696232,-2741.120534,-1678.798824,-779.6518588
303,-2055.058344,-2773.596218,-2070.687946,-782.6216845
304,-2053.058371,-2771.579334,-2063.187937,-1132.224656
305,-2420.255793,-2732.611585,-2380.145931,-1175.173511
306,-2455.474658,-2435.341122,-430.5397345,-1171.184209
307,-2096.122257,-2422.329383,-423.023758,-833.9920761
308,-2150.625673,-2470.738342,-437.2458085,-631.7360318
309,-2146.154624,-2419.789324,-394.8442806,-995.3186243
310,-2425.369662,-2412.41322,-2416.956951,-830.6819394
311,-2420.367855,-2415.209608,-2111.239641,-2372.417747
312,-2418.922321,-2410.709839,-2111.648274,-2370.92497
313,-2414.422319,-2415.328405,-2475.387435,-2372.904393
314,-2028.240796,-2416.374182,-1047.307634,-2369.904363
315,-415.5153167,-736.9990676,-1124.588384,-2375.855518
316,-776.6143111,-732.9930361,-1129.087565,-2332.740268
317,-772.2056308,-744.7415664,-1127.58862,-2303.342059
318,-413.3126884,-731.8636193,-693.1127092,-2336.335191
319,-380.2249939,-730.9354364,-683.6127277,-1941.159822
320,-372.2250156,-777.8754233,-664.7082352,-2305.079756
321,-766.7853229,-786.5216836,-1150.525523,-2719.415605
322,-763.7764142,-783.9493414,-1105.050665,-2691.934184
323,-734.6824405,-773.2133246,-1485.14943,-2247.643058
324,-725.1829985,-472.6632524,-1085.809318,-1860.731493
325,-782.7207865,-465.7970215,-1122.506452,-1894.258107
326,-777.5622278,-2545.42569,-720.1293485,-1658.553298
327,-773.1958838,-2494.432272,-713.1208917,-1653.577523
328,-780.9787509,-2486.492035,-884.4964452,-1267.163787
329,-774.2420289,-2541.127057,-885.5244354,-1273.766577
330,-778.8958479,-2549.046215,-882.0244358,-1288.473649
331,-428.3924567,-2332.041335,-882.0244358,-1287.999647
332,-796.1739774,-2381.001037,-893.1576252,-951.4472698
333,-1143.164556,-2376.548295,-947.657386,-951.4445409
334,-1136.412176,-2331.088131,-217.1794934,-954.9047432
335,-2431.528912,-2381.048279,-471.9956142,-952.4102856
336,-873.4602817,-2376.582214,-526.9546846,-1713.921109
337,-865.4392804,-2371.582276,-554.971736,-2086.146338
338,-836.9743605,-2374.606965,-616.4531464,-565.7708205
339,-811.547383,-2420.983644,-784.2737359,-563.2746826
340,-849.4907372,-2115.426524,-782.767934,-523.1522017
341,-2434.896291,-2104.897371,-782.767927,-482.6217842
342,-2302.901142,-2111.33609,-782.6962263,-478.0959871
343,-2216.871088,-2065.903138,-782.6961754,-476.6332314
344,-2161.318513,-2110.370297,-744.6769798,-523.1892451
345,-2152.823852,-2106.409963,-785.2013616,-514.434885
346,-2152.823851,-2466.71109,-783.694378,-1018.405533
347,-2156.324634,-2466.166124,-743.2295945,-466.9827859
348,-1802.222197,-2079.58575,-736.7304915,-474.5424253
349,-2163.824591,-1715.380162,-780.6753298,-461.0419899
