Timestep,l_0.0001,l_0.001,l_0.01,l_0.05
47,-455.2150104,-892.6814222,-1045.99973,-524.8375885
48,-379.3388196,-892.7149796,-1166.858454,-575.5561663
49,-599.7641996,-1052.194537,-1166.858442,-558.2411683
50,-592.5384494,-1193.366812,-1166.858442,-576.4743176
51,-384.3186305,-1066.26855,-1185.566199,-574.7407862
52,-496.4692403,-1061.909605,-1165.009893,-587.1851256
53,-486.025519,-1063.552824,-1204.387555,-574.9567994
54,-501.9822547,-1066.06198,-1183.844984,-569.2991282
55,-480.2671303,-1053.214725,-917.0910041,-559.5890981
56,-604.5433961,-1051.308021,-743.5455884,-422.289223
57,-610.7816263,-1031.260846,-1199.275803,-434.504322
58,-581.7817291,-1033.404008,-1172.931794,-896.5084195
59,-584.7171619,-1049.302832,-1172.388102,-880.2829673
60,-424.5448965,-1055.484848,-1190.067066,-883.4688857
61,-424.446894,-1042.508694,-1187.66245,-434.5159526
62,-452.4066618,-1043.561596,-1043.721677,-320.6064509
63,-659.8883579,-1047.855727,-1035.420056,-440.1085724
64,-649.6729902,-1050.591829,-959.5633497,-449.7583783
65,-630.9339592,-423.2239524,-931.1103484,-397.0353415
66,-473.2301477,-286.1548005,-917.3255833,-292.176854
67,-464.7264853,-310.2054775,-917.6059498,-306.561243
68,-487.774547,-299.1555604,-899.9531634,-276.8172956
69,-514.9682006,-308.9190634,-1067.026293,-293.5349884
70,-679.1450881,-451.2077784,-254.1481372,-274.7236265
71,-644.4520928,-446.6516705,-404.0329987,-285.7918722
72,-558.8261204,-1076.011505,-443.5714238,-434.7574778
73,-412.8738451,-1182.658373,-1013.397371,-414.9339969
74,-396.7811456,-1184.032521,-998.4367059,-406.9336711
75,-403.9248,-1174.345266,-265.9247666,-552.6744968
76,-572.5034516,-1189.115675,-286.136496,-561.8570319
77,-410.1212403,-616.365205,-307.452637,-1055.565055
78,-397.1243787,-595.3651086,-441.7217018,-1050.841163
79,-399.1842483,-471.2152877,-434.0068252,-1172.000664
80,-397.1614597,-461.214869,-427.0666207,-1181.015677
81,-390.1315556,-460.2141189,-288.6033491,-1179.322532
82,-920.5257521,-316.9202606,-314.6539859,-1174.467115
83,-908.0420617,-460.5523341,-304.5940136,-1172.95156
84,-897.2818809,-448.554818,-1186.818007,-1183.350888
85,-889.067993,-303.540046,-1180.757452,-1131.750945
86,-888.1101751,-442.1818076,-1181.220965,-1155.640563
87,-1016.327345,-309.4571784,-1179.845755,-1042.329736
88,-1018.665582,-166.2473241,-1173.47248,-1174.030703
89,-1006.66665,-608.4354273,-1176.715013,-1053.329628
90,-1099.196604,-596.4594955,-405.4342968,-228.6412768
91,-1104.031638,-590.5598895,-564.1032087,-105.960156
92,-1112.60092,-615.2654932,-434.473266,-95.96293756
93,-1176.010565,-621.941684,-420.474068,-93.91572914
94,-697.1894551,-618.2358017,-445.93316,-99.70399089
95,-981.7908747,-199.4857793,-548.3148668,-96.56854877
96,-983.890362,-259.2782849,-537.1180948,-103.8702019
97,-980.7553175,-238.1509622,-394.1722074,-250.1635187
98,-1013.359407,-239.2434503,-386.1742742,-401.8579789
99,-1002.31371,-235.2427754,-406.7194228,-399.7191773
100,-1000.723467,-240.3756844,-263.6554263,-389.6972455
101,-868.8321904,-268.8203287,-256.6543991,-392.184066
102,-856.0160839,-1030.754487,-254.6910077,-423.7856379
103,-579.784262,-1028.667412,-380.0151177,-324.2686513
104,-581.9170445,-1033.472658,-399.4996139,-496.1979253
105,-576.2742265,-1025.524393,-108.9407477,-436.8794785
106,-565.2297108,-1022.556023,-138.1042256,-425.3743971
107,-562.5153714,-1024.594517,-132.9552501,-887.8052951
108,-577.2556247,-1031.058827,-141.692797,-1003.131681
109,-589.8963191,-1035.88403,-270.7929252,-890.1829279
110,-391.416151,-1032.090983,-402.9362637,-872.1045819
111,-547.7858604,-1028.257771,-271.5887447,-873.46752
112,-543.9279352,-1178.057111,-250.5770999,-998.7587347
113,-571.519498,-1023.553537,-246.775006,-988.9654657
114,-568.9434528,-1014.229657,-1201.385307,-1014.538741
115,-548.4701897,-1015.669767,-1179.409254,-868.7216852
116,-446.835129,-422.5654693,-1183.32164,-844.135725
117,-421.6918019,-279.3833952,-1188.95163,-1002.664539
118,-403.6919758,-151.0752718,-1183.218405,-983.0969337
119,-398.5385651,-318.6655829,-1061.291415,-286.0122224
120,-392.4711202,-292.9397492,-1052.067589,-407.5719636
121,-387.4711317,-1172.705405,-935.0958549,-405.7710671
122,-425.1402461,-1155.239399,-928.8976268,-409.942739
123,-594.4506068,-1163.498193,-924.9353184,-648.8635549
124,-598.3072613,-275.4502106,-933.1755446,-633.9700282
125,-611.1350971,-266.4005704,-923.1564497,-634.2037904
126,-604.2828841,-693.6750069,-1074.894129,-618.2493243
127,-598.2829098,-700.7893132,-1175.760923,-648.1366036
128,-598.3084164,-695.8209947,-1141.011276,-508.3644047
129,-596.389985,-691.5979577,-1138.014586,-827.7873604
130,-608.9415217,-289.6936388,-1122.809589,-608.5366938
131,-620.4906635,-1030.648674,-1104.102223,-608.5098562
132,-497.68983,-1026.302424,-996.6517842,-590.6699283
133,-383.5955459,-1020.394077,-839.8804457,-583.9487939
134,-262.8681674,-1036.942196,-821.4265617,-586.9033856
135,-400.1456514,-1007.001005,-843.0423491,-469.1813946
136,-403.0977495,-1025.965325,-997.8700171,-494.2094924
137,-379.2152929,-1051.50055,-986.2987342,-485.2094851
138,-244.1610767,-1018.537229,-856.7159654,-485.2094849
139,-234.9843233,-883.2712423,-846.4643811,-487.1471761
140,-395.553341,-1023.025682,-835.4655534,-484.6719444
141,-547.3781506,-888.5546751,-1065.265229,-988.2469602
142,-394.7523522,-879.3318929,-860.4681983,-979.1298287
143,-381.7456403,-877.4817803,-825.9778731,-1192.819697
144,-250.2709347,-880.2584144,-820.9786372,-1139.299369
145,-257.6468326,-875.1505983,-828.3695108,-1163.121248
146,-387.8181758,-871.1238447,-842.8344028,-1147.299259
147,-374.8868943,-874.5793134,-305.4226856,-1160.204101
148,-371.8865693,-886.4320801,-289.4873091,-1177.612628
149,-376.1158155,-1043.612025,-280.6200187,-1154.612728
150,-376.1139935,-1069.014228,-278.5267603,-1202.073355
151,-403.400818,-267.8467616,-297.1056147,-1178.019838
152,-410.6570789,-268.505407,-435.0728329,-1190.494085
153,-394.4018507,-260.4892715,-406.9772508,-1186.148914
154,-418.0156344,-263.5650739,-255.3709122,-1194.517207
155,-859.6135882,-260.5654546,-263.5945919,-1081.196578
156,-845.8949625,-394.8012145,-249.7056642,-702.2671297
157,-1008.971491,-376.9162009,-141.6736344,-599.954824
158,-1015.759421,-405.181175,-108.7474426,-598.2957107
159,-1006.777876,-420.6764966,-141.2072887,-533.0427662
160,-1015.6667,-260.4668509,-112.0427718,-527.0419449
161,-1003.586881,-240.2835627,-235.6845025,-434.8310494
162,-980.337549,-231.8879918,-537.6700997,-288.2326108
163,-1015.663317,-245.937019,-553.1698037,-284.2335774
164,-1008.878684,-236.9705453,-532.1700951,-288.6665944
