Train,Test
-1297.37843,-22.45457067
-1346.857824,-22.45457067
-1342.857824,-22.45457067
-898.2504668,-22.45457067
-860.3085731,-22.45457067
-855.2986143,-22.45457067
-854.9549852,-22.45457067
-1306.756402,-22.45457067
-1287.320505,-22.45457067
-1283.832703,-22.45457067
-1285.804563,-22.45457067
-1336.766326,-22.45457067
-1286.300635,-22.45457067
-1293.785389,-22.45457067
-835.1480953,-22.45457067
-1288.824516,-22.45457067
-1283.321279,-22.45457067
-1284.809147,-22.45457067
-1207.703711,-22.45457067
-1249.637396,-22.45457067
-1245.185032,-22.45457067
-871.9310146,-22.45457067
-833.5149221,-22.45457067
-253.6133587,-22.45457067
-254.6078977,-22.45457067
-455.3161202,-22.45457067
-455.3271641,-22.45457067
-423.9162549,-22.45457067
-415.4080961,-22.45457067
-417.3828295,-22.45457067
-2378.169957,-22.45457067
-2373.848328,-22.45457067
-2334.870494,-22.45457067
-2335.338448,-22.45457067
-2336.887048,-22.45457067
-2350.942403,-22.45457067
-2344.969538,-22.45457067
-2345.477321,-22.45457067
-2392.379849,-22.45457067
-789.518141,-22.45457067
-786.9915106,-22.45457067
-774.3934015,-22.45457067
-775.8802337,-22.45457067
-1118.291738,-22.45457067
-764.6593451,-22.45457067
-2385.183059,-22.45457067
-2441.852314,-22.45457067
-2443.390402,-22.45457067
-2432.906844,-22.45457067
-2029.31202,-22.45457067
-2014.31202,-22.45457067
-790.5641196,-22.45457067
-1179.504867,-22.45457067
-1173.421677,-22.45457067
-789.9415062,-22.45457067
-784.3415136,-22.45457067
-833.2446118,-22.45457067
-824.6874688,-22.45457067
-583.9996717,-22.45457067
-541.5716643,-22.45457067
-483.1077793,-22.45457067
-464.2620264,-22.45457067
-347.2386053,-22.45457067
-344.9493496,-22.45457067
-2406.734268,-22.45457067
-2775.850861,-22.45457067
-2779.272332,-22.45457067
-2742.38857,-22.45457067
-2730.74498,-22.45457067
-119.3022705,-22.45457067
-112.3022705,-22.45457067
-95.9239548,-22.45457067
-124.9514827,-22.45457067
-134.3437394,-22.45457067
-2431.000141,-22.45457067
-2429.436843,-22.45457067
-2432.949393,-22.45457067
-2034.659997,-22.45457067
-2021.664287,-22.45457067
-831.8203495,-22.45457067
-745.6517484,-22.45457067
-743.2114716,-22.45457067
-728.6251325,-22.45457067
-768.1654546,-22.45457067
-374.3082416,-22.45457067
-734.0456949,-22.45457067
-793.0084543,-22.45457067
-824.9849438,-22.45457067
-777.0244864,-22.45457067
-831.5373264,-22.45457067
-821.5373264,-22.45457067
-789.6056975,-22.45457067
-781.6022268,-22.45457067
-749.0505404,-22.45457067
-742.8385663,-22.45457067
-741.4176788,-22.45457067
-1139.231656,-22.45457067
-1088.222049,-22.45457067
-1080.727279,-22.45457067
-1081.72684,-22.45457067
-1081.234694,-22.45457067
-1081.718274,-22.45457067
-1084.64132,-22.45457067
-1129.076351,-22.45457067
-2171.237507,-22.45457067
-1871.250425,-22.45457067
-1830.839448,-22.45457067
-1809.912065,-22.45457067
-1811.419906,-22.45457067
-1502.060192,-22.45457067
-1485.509351,-22.45457067
-1494.727631,-22.45457067
-1544.121048,-22.45457067
-1531.121048,-22.45457067
-1147.894487,-22.45457067
-1538.852968,-22.45457067
-1524.264868,-22.45457067
-474.5187721,-22.45457067
-595.1760531,-22.45457067
-593.7678184,-22.45457067
-624.2249959,-22.45457067
-453.382025,-22.45457067
-506.3673168,-22.45457067
-378.5896709,-22.45457067
-376.3642985,-22.45457067
-727.9015869,-22.45457067
-376.7154392,-22.45457067
-374.3620024,-22.45457067
-335.3376368,-22.45457067
-337.2984836,-22.45457067
-334.4472812,-22.45457067
-517.7673259,-22.45457067
-506.0893083,-22.45457067
-502.5893083,-22.45457067
-504.6087614,-22.45457067
-467.1490461,-22.45457067
-829.5317937,-22.45457067
-1110.435608,-22.45457067
-1074.524763,-22.45457067
-855.0769475,-22.45457067
-848.6164733,-22.45457067
-777.9139589,-22.45457067
-470.7254943,-22.45457067
-508.7428206,-22.45457067
-494.2998209,-22.45457067
-504.2428206,-22.45457067
-143.1098126,-22.45457067
-499.6036341,-22.45457067
-107.7836027,-22.45457067
-421.1859207,-22.45457067
-415.1855765,-22.45457067
-809.6980479,-22.45457067
-860.2079247,-22.45457067
-852.7136968,-22.45457067
-852.7136968,-22.45457067
-852.6055215,-22.45457067
-817.5536991,-22.45457067
-813.6175672,-22.45457067
-897.3137132,-22.45457067
-893.3137132,-22.45457067
-549.1492715,-22.45457067
-153.9079911,-22.45457067
