Timestep,Ramp0,Ramp1
357,-420.7368926,-1665.486127
358,-415.7915815,-1664.166721
359,-424.2912401,-1621.167377
360,-106.183894,-2735.036654
361,-104.6842207,-2689.534974
362,-56.18440644,-2162.09723
363,-16.18374538,-2192.602122
364,-328.0152054,-2196.526821
365,-374.5130837,-2138.02739
366,-729.6279853,-1980.629769
367,-724.6282842,-2025.129606
368,-2062.895304,-2026.629334
369,-2008.89491,-1984.630338
370,-2005.394522,-1974.130249
371,-2327.062326,-2092.639869
372,-2317.062087,-1938.65533
373,-2316.062088,-2284.980333
374,-2320.564622,-2331.484908
375,-2689.831591,-2291.480333
376,-2683.79232,-2283.980333
377,-1588.331964,-2283.980333
378,-1589.83008,-2257.473306
379,-1581.230223,-2254.982704
380,-1529.230707,-1944.237884
381,-1608.538656,-1936.237679
382,-1834.411419,-1991.236962
383,-1611.379902,-1986.376053
384,-1606.94841,-1983.943774
385,-1576.45335,-1990.323817
386,-1487.641619,-2383.766117
387,-1802.574433,-2373.766116
388,-2280.831104,-2326.765775
389,-2633.148982,-2378.268968
390,-2274.418366,-2340.701429
391,-2269.418367,-2330.701427
392,-2637.164774,-2336.200066
393,-2596.158987,-2334.19959
394,-2210.623734,-2715.703578
395,-455.8077346,-2413.146301
396,-451.8077306,-2405.069244
397,-99.68846516,-2468.068895
398,-446.9407035,-2721.992009
399,-444.2968567,-2291.204723
400,-487.798233,-2281.204767
401,-494.2956415,-755.1586934
402,-540.2958517,-758.6592436
403,-186.0368527,-2344.204463
404,-182.5368711,-2341.204462
405,-182.5368711,-2769.927302
406,-182.5368711,-2751.626988
407,-146.0383225,-2752.628135
408,-2336.675735,-2754.627656
409,-2334.673881,-2750.026462
410,-2380.170452,-2750.525803
411,-2371.969435,-2752.346853
412,-2331.470684,-2752.345444
413,-2384.968824,-2760.09128
414,-2332.470886,-2600.829681
415,-2320.470887,-2600.829622
416,-2720.482781,-2605.327676
417,-2708.98282,-2300.774828
418,-2716.987146,-2258.791221
419,-2711.272054,-2248.991573
420,-2410.464712,-2686.523071
421,-2403.341841,-2681.024796
422,-2400.341839,-1714.908357
423,-2408.336753,-1704.152401
424,-2454.837033,-1667.153609
425,-2420.842634,-1662.65362
426,-2350.121248,-1708.151866
427,-2342.115924,-1702.651867
428,-2335.115924,-2101.415457
429,-2341.638675,-1713.815411
430,-1978.379015,-1706.314102
431,-1980.878989,-1670.814538
432,-1974.380475,-1706.314328
433,-2375.067276,-2055.777454
434,-2055.765113,-2053.778089
435,-2053.265112,-2055.22567
436,-2422.044204,-2015.226788
437,-2416.043789,-1664.091392
438,-2727.474024,-2094.366638
439,-2728.472883,-1705.220861
440,-2688.472803,-1702.720857
441,-2383.700691,-1705.720843
442,-2373.346118,-1702.720842
443,-2370.34612,-1706.801434
444,-2372.84654,-2098.366472
445,-368.8209512,-1706.375845
446,-54.02706462,-1710.875779
447,-53.74478246,-1709.878345
448,-58.2442451,-1710.878403
449,-106.2442391,-1704.041853
450,-71.74662619,-1703.041608
451,-65.74605578,-1708.039846
452,-429.5271009,-1703.039846
453,-468.0295505,-1673.543485
454,-601.8723313,-1711.540532
455,-600.8722276,-2104.017939
456,-600.8723305,-2097.014692
457,-560.3725821,-2091.514693
458,-594.3716448,-2094.237868
459,-599.8737241,-1713.623082
460,-601.3701783,-2020.931015
461,-592.0692876,-2430.359309
462,-591.0692865,-2420.85983
463,-553.5687779,-2478.25724
464,-945.3389154,-2435.257205
465,-941.8389944,-2428.756997
466,-905.8400691,-2433.257893
467,-906.8396253,-2427.257893
468,-902.8397114,-2199.443058
469,-901.8397121,-2453.069618
470,-905.3391455,-2118.480427
471,-517.4140251,-2047.919147
472,-363.7869999,-2419.069136
473,-734.1827111,-1213.042954
474,-778.6863565,-1213.003325
475,-770.186354,-1214.004061
476,-963.4496797,-1170.051487
477,-966.9401348,-1161.803619
478,-1113.823312,-2671.692355
479,-1111.975626,-2229.688675
480,-1111.854107,-2222.0238
481,-1111.854106,-2223.868421
482,-1084.862248,-2004.946209
483,-1072.626455,-1994.446992
484,-764.7569647,-1658.548383
485,-763.784439,-1658.048772
486,-1081.28563,-2173.104602
487,-1076.283342,-2163.603497
488,-1072.283952,-2209.599166
489,-772.0632018,-2207.095903
490,-766.0627525,-2202.09586
491,-764.0630359,-2599.530861
492,-761.0630301,-1945.504772
493,-762.0627214,-2297.97638
494,-817.5631485,-2298.974939
495,-815.0630348,-2341.477421
496,-772.5626239,-2035.236731
497,-801.7760598,-2032.207326
498,-860.7763431,-2023.707323
499,-850.6739785,-1981.708425
500,-852.6727404,-1107.516426
501,-850.6727402,-1104.016076
502,-807.6727496,-1054.015892
503,-857.1727613,-1104.516144
504,-819.6775762,-1175.664354
505,-815.1752461,-1113.516142
506,-767.6751935,-1144.51529
507,-378.1062405,-1183.518803
508,-371.5099098,-896.0437752
509,-371.5098616,-861.0460807
510,-419.0063349,-1135.520741
511,-2593.955485,-1132.020742
512,-2598.45099,-1174.435153
513,-2562.456525,-1165.589918
514,-2555.455798,-2329.510153
515,-2553.794216,-1159.731557
516,-2559.799144,-1154.133283
517,-2595.297234,-1154.231556
518,-2584.358683,-1155.231145
519,-2462.633574,-1171.514371
520,-2261.848943,-1161.450119
521,-1865.399707,-1127.448339
522,-1082.746897,-1121.594323
523,-1669.242131,-1121.594459
524,-1204.265872,-739.5780788
525,-1206.266932,-1129.485394
526,-1252.980651,-1121.485394
527,-1238.979341,-2022.6023
528,-1259.106087,-2014.102351
529,-1257.606714,-1980.600341
530,-1041.539854,-1976.099457
531,-1035.039853,-1978.211521
532,-1004.038483,-1974.212001
533,-999.0391269,-1972.712001
534,-521.949935,-1975.712298
535,-1166.873009,-1972.712299
536,-1154.067708,-2021.215908
537,-793.5264875,-2012.715908
538,-791.0264869,-1979.213625
539,-742.5264239,-1974.690594
540,-1104.682065,-1975.213627
541,-854.9994414,-2032.712805
542,-845.7252881,-1994.20831
543,-843.2252831,-2026.183548
544,-808.1234628,-2026.184021
545,-802.123211,-2072.186865
546,-422.9828129,-2028.68493
547,-382.98489,-2467.952865
548,-374.4848016,-2459.453609
549,-19.20034259,-2455.953609
550,-376.5441938,-2463.455791
551,-2294.745296,-2461.454664
552,-2340.740409,-2412.954233
553,-2334.41016,-479.1496451
554,-2333.410897,-520.6505342
555,-2333.191562,-501.1498913
556,-2330.624094,-654.3247911
557,-2029.387036,-716.9644839
558,-2022.887605,-769.4640553
559,-2022.055806,-1129.484792
560,-2026.933657,-1171.984127
561,-799.2075641,-782.9635888
562,-795.7067763,-771.9635668
563,-797.0166111,-744.584561
564,-576.8869197,-747.2354473
565,-404.5373212,-701.2347464
566,-405.5361847,-696.5838457
567,-98.80099494,-412.6500722
568,-458.0185269,-56.98014801
569,-467.6482854,-375.2374193
570,-457.3932024,-325.7363241
571,-464.8896309,-323.7363254
572,-849.4983737,-324.99069
573,-643.5599437,-324.3383244
574,-164.0529399,-374.67037
575,-155.9627306,-376.5805464
576,-2696.454732,-736.4386525
577,-2691.358636,-736.32869
578,-2689.046256,-734.8286921
579,-2737.049293,-376.475834
580,-2731.671846,-739.8171641
581,-2729.172366,-690.8178036
582,-2730.747769,-2100.740054
583,-2729.747206,-2412.296956
584,-2729.246712,-2403.902166
585,-2315.052355,-2404.505278
586,-2303.914904,-2766.601708
587,-2362.914673,-805.4049024
588,-2397.411967,-848.4018036
589,-2743.48885,-804.9032534
590,-2765.229251,-804.4049281
591,-2723.230322,-420.7119178
592,-2326.716019,-413.4618719
593,-1965.296193,-411.5217764
594,-2019.795607,-413.2019098
595,-2413.004229,-413.7013953
596,-2400.326007,-457.6995719
597,-2399.414017,-146.9266003
598,-811.5641091,-2344.007666
599,-856.06368,-2346.344597
600,-806.064113,-2301.345759
601,-808.3141032,-1949.335468
602,-804.410591,-1908.836826
603,-802.9107362,-1902.836929
604,-802.9107362,-1946.336208
605,-806.3454771,-466.2338774
606,-845.8469606,-2735.435735
607,-805.8454707,-2689.935025
608,-804.1947351,-2732.936511
609,-812.1978421,-2730.935487
610,-420.1887605,-2347.033285
611,-374.2065066,-2340.017484
612,-414.2071139,-2334.743461
613,-412.7071135,-2295.24249
614,-412.7071135,-1934.896216
615,-797.4388216,-1978.899488
616,-797.4384495,-1934.900171
617,-796.437773,-1888.397096
618,-796.4384504,-1943.396442
619,-841.440625,-1932.896455
620,-2299.217248,-1627.759251
621,-2338.214839,-365.7720577
