Steps,g_0.98,g_0.99,g_0.995,g_0.999
231,-747.3949665,-788.3294441,-434.3063232,-323.4488884
232,-731.3952299,-779.6432262,-565.4552973,-333.5938555
233,-737.2637953,-624.5304753,-577.8914586,-386.5252315
234,-738.1299243,-624.7186289,-555.7759531,-369.5256243
235,-873.4572815,-619.7718851,-543.225461,-308.2914472
236,-867.6463162,-483.2549453,-555.4955309,-255.7724173
237,-867.6719082,-477.5286343,-540.4358397,-370.1735511
238,-857.5708272,-436.2348401,-414.4594938,-385.3544128
239,-895.0801587,-438.5532264,-404.5209073,-389.1962848
240,-1034.912732,-760.1149561,-541.4003149,-378.1965114
241,-1028.673286,-629.250472,-532.4840498,-369.0124578
242,-910.3380203,-622.2126161,-549.6383694,-523.9640888
243,-762.4561038,-638.8930951,-432.173013,-543.5685174
244,-751.3365665,-619.8641133,-669.5559939,-526.3180393
245,-1202.533337,-602.0417007,-662.8694122,-389.3614648
246,-1194.088332,-633.7950125,-661.4017314,-412.6904078
247,-1062.454054,-631.927948,-643.40182,-1155.819024
248,-1194.875378,-493.9438945,-644.4791551,-1153.55064
249,-1198.548905,-483.8203467,-659.8178323,-573.3606403
250,-1189.398934,-646.9696383,-663.07622,-573.9263998
251,-1188.556661,-646.8849667,-825.2988695,-605.830397
252,-697.0555245,-644.8836022,-810.8995526,-591.8545203
253,-682.1400314,-640.3520602,-737.7394795,-480.2501616
254,-671.2510737,-473.764227,-787.1839043,-598.7321048
255,-671.3617812,-461.607153,-787.716932,-591.2026876
256,-676.4318578,-456.6072819,-782.7168952,-598.7293529
257,-539.9913219,-462.6109052,-785.6510239,-477.2988972
258,-561.3813671,-597.293792,-782.6513791,-923.4808112
259,-532.4596982,-760.354687,-275.3515396,-1136.446845
260,-509.2999907,-798.1008832,-288.8274899,-1158.575009
261,-503.049983,-610.7303752,-284.8014916,-1145.764402
262,-401.8419842,-616.2283886,-284.7963827,-1131.764402
263,-399.0476991,-603.2919489,-274.2651385,-420.2399903
264,-397.8203935,-632.5682703,-425.3853517,-438.6711599
265,-376.7899431,-629.5669495,-447.3387028,-427.1860445
266,-230.1223031,-626.6315677,-437.3387048,-407.2422789
267,-237.1376785,-651.7668928,-428.6220731,-393.0945622
268,-239.0525776,-642.3842145,-417.7364181,-562.8623257
269,-235.9645938,-640.3868327,-413.7364268,-553.7887554
270,-302.7136571,-640.3866805,-427.6367239,-580.5499514
271,-321.6639354,-407.5602627,-939.3317497,-1019.096153
272,-321.604484,-403.6068171,-285.5834477,-1006.092501
273,-321.6627792,-428.454333,-274.5856447,-1006.625057
274,-498.9176747,-443.5578561,-156.4706515,-1000.15736
275,-480.7226741,-430.6134407,-134.01494,-847.4858436
276,-464.7101735,-418.4137733,-154.3395235,-858.6061584
277,-413.8266786,-421.2669019,-163.3941108,-860.7056476
278,-550.7232303,-431.748727,-157.6451484,-857.819762
279,-534.7231314,-395.5856593,-237.974595,-866.6345179
280,-537.8138449,-412.7700286,-379.5067392,-743.2979221
281,-534.5627957,-588.333132,-383.3454124,-718.1135945
282,-1193.709506,-576.0263923,-378.3171129,-711.0909788
283,-1211.15294,-567.0246346,-415.5532022,-711.0910772
284,-1189.222761,-599.8380806,-402.7410237,-854.6936064
285,-1189.491963,-581.8382404,-394.7407677,-997.2237722
286,-1200.858366,-581.8382407,-229.1793566,-991.5870686
287,-1195.807553,-1063.750054,-396.3112447,-992.5919186
288,-284.8939987,-1060.871584,-382.2388182,-987.647641
289,-274.8863368,-1054.752166,-381.2714908,-983.6475257
290,-267.886783,-1062.611574,-924.8001832,-983.6480813
291,-394.8020522,-1058.699659,-350.1479445,-849.2386555
292,-384.8017987,-1191.252407,-345.1795181,-865.5671988
293,-353.150902,-457.8983027,-349.2754533,-860.2933736
294,-229.5716808,-448.8754267,-375.805919,-744.7119577
295,-228.5715607,-448.8754231,-378.9341438,-728.7410657
296,-423.7820985,-477.6271234,-315.4484829,-760.119426
297,-405.6533294,-471.7708152,-257.9458705,-910.0589687
298,-427.8297242,-469.1116923,-254.777094,-890.059185
299,-511.5361405,-452.0490971,-273.129154,-1027.174503
300,-545.8752777,-449.0359184,-252.0096871,-1019.17138
301,-407.1574007,-452.9834586,-244.8902198,-1015.171478
302,-409.5923051,-861.7228428,-227.8899665,-1022.675465
303,-529.1126498,-286.4106548,-230.8448977,-1009.396492
304,-556.9163309,-297.6561058,-226.0793674,-998.7310749
305,-560.3730894,-284.4736107,-250.1415886,-1173.622339
306,-536.9132088,-436.7326581,-239.1962453,-846.4830992
307,-400.2090978,-444.372862,-253.9839659,-824.4868868
308,-407.8814355,-427.748162,-242.1613724,-828.5441331
309,-387.7186673,-425.6452772,-243.2595284,-824.3710358
310,-989.1869745,-419.7651092,-239.2112942,-712.5105432
311,-973.1669973,-423.1579623,-261.0490242,-701.5101552
312,-984.8752251,-452.7979871,-235.9595016,-620.6507843
313,-1109.696251,-437.6073415,-245.0997599,-236.8586357
314,-1120.228655,-926.2908431,-243.9095075,-585.7195575
315,-1127.69601,-1050.205821,-243.0760609,-698.7319828
316,-1073.9448,-1202.594612,-132.0524801,-675.9981375
317,-1205.167068,-1172.594591,-114.6412369,-654.1793745
