TImeStep,g_0.98,g_0.99,g_0.995,g_0.999
149,-1164.141562,-280.6200187,-391.967667,-582.9586272
150,-1160.810826,-278.5267603,-561.0881126,-479.9050057
151,-1157.207993,-297.1056147,-550.4702913,-916.01275
152,-1016.302431,-435.0728329,-544.5350277,-907.1686656
153,-1004.910759,-406.9772508,-534.2660715,-889.1688852
154,-1001.866445,-255.3709122,-525.236467,-881.3006268
155,-1037.232131,-263.5945919,-424.046182,-900.0150153
156,-1176.922516,-249.7056642,-446.02588,-900.9112528
157,-1172.045511,-141.6736344,-440.1683899,-896.8855905
158,-1167.263396,-108.7474426,-430.2892629,-901.7608639
159,-1166.644845,-141.2072887,-426.2900494,-897.1739011
160,-1163.722497,-112.0427718,-457.6897484,-1017.586659
161,-1161.722489,-235.6845025,-479.5983019,-552.8370677
162,-1177.973016,-537.6700997,-504.4056807,-545.8350637
163,-1172.537257,-553.1698037,-470.0534563,-425.3288002
164,-1180.164579,-532.1700951,-313.2722663,-562.598134
165,-1156.268945,-552.6398866,-339.4190328,-684.0600659
166,-1188.663044,-563.8218423,-319.3747291,-635.345431
167,-1164.107168,-572.7467206,-231.9441662,-506.8547686
168,-1160.933735,-721.6007725,-1183.296879,-496.8585348
169,-1056.912713,-771.2006232,-1196.240928,-498.9257288
170,-1050.369764,-735.0226525,-1084.450208,-634.3986436
171,-1042.369169,-714.2918877,-1065.449732,-1184.170675
172,-1052.13146,-713.1909433,-1063.746962,-547.3013696
173,-1053.394288,-615.0663691,-247.9196728,-547.7698871
174,-1049.572492,-445.5359104,-236.9923518,-539.5317192
175,-1081.323811,-296.2800461,-266.6269644,-539.1170315
176,-1069.200405,-533.888062,-132.5362489,-1188.960206
177,-1203.534291,-528.4402921,-125.655654,-1044.486769
178,-1184.463328,-545.8844455,-254.9867535,-1050.004921
179,-1180.463331,-554.1789831,-249.2589372,-904.0014113
180,-1189.384802,-528.1786728,-634.9636204,-889.921199
181,-1201.753154,-528.2022388,-640.4528037,-1030.663705
182,-1191.14302,-528.2021051,-766.9969741,-1024.988084
183,-1192.679087,-397.9508638,-759.8164426,-1012.695056
184,-1174.879475,-290.4999931,-757.9956412,-1159.459407
185,-1167.982437,-310.9962949,-750.9959117,-1103.323194
186,-1062.599004,-295.9951066,-772.8103594,-1126.136323
187,-964.283918,-788.0913479,-764.7689684,-217.3720014
188,-938.2821475,-780.5500334,-768.3382932,-122.5268376
189,-961.8797583,-1191.922132,-766.2596285,-110.5529912
190,-952.7885838,-1190.410417,-785.3160588,-113.4768962
191,-729.5431829,-1172.012945,-455.9058616,-110.0220809
192,-735.3444025,-1204.428708,-580.7908477,-109.3963123
193,-413.4011608,-1190.50523,-572.7886286,-115.9267527
194,-431.7825454,-1185.312806,-606.9401156,-264.3807884
195,-574.9504555,-1033.057502,-1045.106132,-254.4851297
196,-573.8963476,-1182.933959,-1033.813122,-247.4845373
197,-568.5542203,-1195.939093,-1033.033052,-250.4373602
198,-584.8971153,-1192.57439,-1048.970602,-231.3247353
199,-441.5888128,-1176.569766,-931.8303146,-225.3437648
200,-443.4637986,-1173.62215,-755.082391,-1086.850126
201,-602.3110636,-1205.192624,-676.0627583,-939.3881552
202,-598.9226741,-1191.144709,-772.0783711,-939.0025509
203,-615.3909861,-1185.11344,-779.3643617,-942.4826792
204,-621.2287455,-1193.391891,-765.63328,-928.4216915
205,-606.2286368,-1189.651479,-759.4640227,-929.4772252
206,-632.8273535,-1218.745246,-809.0078367,-361.3142676
207,-650.6934533,-1201.74525,-783.9644989,-397.1834477
208,-625.1081571,-1204.184369,-1134.852921,-382.2599986
209,-863.4864211,-1001.120537,-1136.736194,-1061.860094
210,-867.4837946,-1000.060264,-1129.440581,-1059.616306
211,-744.7958619,-999.6069094,-159.4638538,-1044.616376
212,-867.483696,-997.1256557,-153.5220628,-1075.260849
213,-734.8571389,-1000.34024,-293.6977893,-430.724518
214,-626.8119779,-852.943577,-289.81505,-561.9950862
215,-611.9061321,-704.8085911,-951.9346282,-778.7425521
216,-609.9048533,-717.2627722,-943.0438468,-798.8758474
217,-636.4847117,-704.9541278,-933.7248441,-777.8753856
218,-658.2435039,-587.952233,-928.010412,-788.4288043
219,-661.6325623,-562.9525,-920.2952411,-789.520448
220,-654.632419,-562.9525059,-925.9953023,-780.5561334
221,-413.4735015,-575.2297025,-934.6609444,-873.7735402
222,-306.8937338,-747.0710779,-945.6728879,-873.7363263
223,-269.906163,-945.1669128,-929.6619567,-883.9638094
224,-408.9509991,-925.1702272,-918.3684471,-1063.43551
225,-263.0689355,-825.3610967,-928.4847371,-502.5663407
226,-248.0716686,-519.9802268,-1063.360915,-366.3830149
227,-280.5015572,-346.7535224,-1034.705286,-799.8703046
228,-270.7918148,-335.7547892,-1071.863294,-797.7794891
229,-267.9619178,-362.5533366,-238.7750651,-794.8833339
230,-296.9699409,-338.4933291,-225.7743201,-789.6979649
231,-147.3807724,-352.9404547,-342.3483705,-803.6427684
232,-141.3991222,-330.0052372,-333.644008,-792.6425404
233,-141.3483584,-310.202566,-1052.787836,-800.5333095
234,-484.4511466,-447.5867059,-1054.578194,-613.0549379
235,-624.6133336,-324.0264347,-1046.956254,-579.9053186
236,-495.0469261,-819.5232544,-1052.174279,-805.8167989
237,-476.1206132,-687.4566956,-1051.958351,-785.8169978
238,-480.0096427,-561.9464668,-289.742283,-426.5546774
239,-640.9099729,-549.9008524,-256.7867399,-427.4655583
240,-625.8524682,-739.1460573,-338.5068696,-1187.911402
241,-622.8710353,-417.4759062,-333.5090909,-1185.382341
242,-1020.110684,-255.0129091,-333.4632888,-1186.144433
243,-904.9160528,-113.1277947,-686.0349606,-1172.926071
244,-915.3043771,-107.1266745,-745.5103389,-1185.646699
245,-704.8182709,-107.1525538,-749.5300655,-1180.97094
246,-702.7362091,-250.1153398,-746.5299136,-1189.170015
247,-989.4231062,-237.218723,-597.4412043,-1185.348066
248,-986.2780626,-237.2143625,-590.443004,-1190.454335
249,-990.6278969,-244.3203774,-602.5377679,-1058.339617
250,-967.6515355,-234.7455067,-608.7677904,-1041.338791
251,-969.6514997,-257.5073717,-600.3373769,-1043.733494
252,-988.9480405,-389.8621195,-593.1394716,-1028.795471
253,-881.7733846,-238.3037365,-602.0967915,-1035.542621
254,-1006.26647,-128.0775984,-774.968955,-1025.542728
255,-989.5372881,-141.6298249,-763.3084479,-1032.061249
256,-1095.029206,-371.1584826,-764.1551698,-1178.104746
257,-999.2078326,-367.1728524,-1058.699945,-1170.20538
258,-978.1435257,-461.6746243,-1040.155504,-1195.889896
259,-1022.42111,-482.208785,-1026.28888,-1193.562422
260,-995.4214298,-485.2976301,-1062.681581,-1193.777909
261,-997.8868074,-333.2189713,-1184.510769,-1199.408923
262,-1027.488395,-318.1392846,-1191.797875,-1137.852739
263,-1004.210068,-307.0638651,-1173.010769,-1144.355853
264,-1018.590326,-339.1650164,-1161.328599,-1119.293109
265,-860.1486269,-312.0615439,-1142.328505,-1125.105604
266,-1039.050845,-304.0606739,-1150.213367,-1119.988978
267,-1045.148551,-301.4723126,-1150.234934,-341.7289758
268,-939.8236013,-292.1783333,-1169.869011,-362.2575
269,-785.2967059,-292.1769822,-1164.336001,-346.4113658
270,-413.1246244,-301.2524626,-1155.33603,-354.4068051
271,-421.1302802,-315.6408838,-1062.305524,-469.2592116
272,-409.0725424,-300.5065174,-1039.304002,-453.2602144
273,-481.0821668,-321.7646147,-1044.829703,-485.481419
